كورين المعروف هجورج هامازاس بوشكيان,ارمن ارثوذكس,زحلة,الكتلة الشعبية,البقاع 1
نقولا نجيب سابا,روم ارثوذكس,زحلة,الكتلة الشعبية,البقاع 1
نقولاناصيف العموري المعلوف,روم كاثوليك,زحلة,الكتلة الشعبية,البقاع 1
مريم جبران طوق,روم كاثوليك,زحلة,الكتلة الشعبية,البقاع 1
احمد عهده العجمي,سني,زحلة,الكتلة الشعبية,البقاع 1
اسامهمحسن سلهب,شيعي,زحلة,الكتلة الشعبية,البقاع 1
بول جان شربل,ماروني,زحلة,الكتلة الشعبية,البقاع 1
,,,,
بوخوس ههراهت كورديان,ارمن ارثوذكس,زحلة,زحله قضيتنا,البقاع 1
قيصر نعيم رزق المعلوف,روم ارثوذكس,زحلة,زحله قضيتنا,البقاع 1
جورح ايلي عقيص,روم كاثوليك,زحلة,زحله قضيتنا,البقاع 1
ميشال الياس فتوثد,روم كاثوليك,زحلة,زحله قضيتنا,البقاع 1
محمد علي احمد ميتا,سني,زحلة,زحله قضيتنا,البقاع 1
عامر محمد الصبوري,شيعي,زحلة,زحله قضيتنا,البقاع 1
ايلي ميشال ماروني,ماروني,زحلة,زحله قضيتنا,البقاع 1
,,,,
ماري جان كريكور مهران بيللجيان,ارمن ارثوذكس,زحلة,زحلة للكل,البقاع 1
اسعد شارل نكد,روم ارثوذكس,زحلة,زحلة للكل,البقاع 1
ميشال ميشال السكاف,روم كاثوليك,زحلة,زحلة للكل,البقاع 1
ميشال جورح ضاهر,روم كاثوليك,زحلة,زحلة للكل,البقاع 1
عاصم فايز عراجي,سني,زحلة,زحلة للكل,البقاع 1
نزار محسن دلول,شيعي,زحلة,زحلة للكل,البقاع 1
سليم جورح عون,ماروني,زحلة,زحلة للكل,البقاع 1
,,,,
ادي بوخوس دمرجيان,ارمن ارثوذكس,زحلة,زحله الخيار والقرار,البقاع 1
ناصيف الياس التيني,روم ارثوذكس,زحلة,زحله الخيار والقرار,البقاع 1
نقولا ميشال فتوثد,روم كاثوليك,زحلة,زحله الخيار والقرار,البقاع 1
وجيه محمد عراجي,سني,زحلة,زحله الخيار والقرار,البقاع 1
انور حسين جمعه,شيعي,زحلة,زحله الخيار والقرار,البقاع 1
خليل جورح للهراوي,ماروني,زحلة,زحله الخيار والقرار,البقاع 1
,,,,
لاندا ادوار شديد,روم ارثوذكس,زحلة,كلنا وطني,البقاع 1
ضان جورح معلوف,روم كاثوليك,زحلة,كلنا وطني,البقاع 1
هود نواف الطعيمة,سني,زحلة,كلنا وطني,البقاع 1
محمد عباسصن,شيعي,زحلة,كلنا وطني,البقاع 1
حنا فوزي حههب,ماروني,زحلة,كلنا وطني,البقاع 1
