ونام ماهر نجيب وهاب,درزي,الشوف,الوحدة الوطنية
سليمان محفوظ ابورجيلي,روم كاثوليك,الشوف,الوحدة الوطنية
زاهر انور الخطيب,سني,الشوف,الوحدة الوطنية
الياس عهد السلام البراج,سني,الشوف,الوحدة الوطنية
زياد انطوان الشويري,ماروني,الشوف,الوحدة الوطنية
اسعد ادمون ابو جوده,ماروني,الشوف,الوحدة الوطنية
خالد عارف خداج,درزي,عاليه,الوحدة الوطنية
شفيق سعته رضوان,درزي,عاليه,الوحدة الوطنية
وليد انيس خهرااة,روم ارثوذكس,عاليه,الوحدة الوطنية
سهيل خليل بجاني,ماروني,عاليه,الوحدة الوطنية
,,,
مازنعصمت هو درهم,درزي,الشوف,ضمانة الجبل
مروان سلمان الساري حلاوي,درزي,الشوف,ضمانة الجبل
ضان امل عطاالله,روم كاثوليك,الشوف,ضمانة الجبل
علي صلاح الدهن الحاح,سني,الشوف,ضمانة الجبل
طارق محمد الخطيب,سني,الشوف,ضمانة الجبل
فريدجورح فيليب البستاني,ماروني,الشوف,ضمانة الجبل
ماريو عزيز عون,ماروني,الشوف,ضمانة الجبل
سمير يوسف عون,ماروني,الشوف,ضمانة الجبل
الامر طلال الامر مجيد ارسلان,درزي,عاليه,ضمانة الجبل
الياس شديد حنا,روم ارثوذكس,عاليه,ضمانة الجبل
عماد مارون الحاج الملقب بالمعلم,ماروني,عاليه,ضمانة الجبل
سبيزار ريمون ابي خليل,ماروني,عاليه,ضمانة الجبل
,,,
ماهر مامون ابو شقرا,درزي,الشوف,كلناوطني
رانيه عادل هيث,درزي,الشوف,كلناوطني
انطوان حههب فواز,روم كاثوليك,الشوف,كلناوطني
مازن محمد نصر الدهن,سني,الشوف,كلناوطني
محمد سامي الحجار,سني,الشوف,كلناوطني
جورح اميل عون,ماروني,الشوف,كلناوطني
غاده غازي ماروني,ماروني,الشوف,كلناوطني
عماد حسيب للقاضي,درزي,عاليه,كلناوطني
علاء انور الصايغ,درزي,عاليه,كلناوطني
زويا نجيب جريديني,روم ارثوذكس,عاليه,كلناوطني
كارل فريد هو ملهم,ماروني,عاليه,كلناوطني
,,,
رامي نهاد حماده,درزي,الشوف,مدنية
شكري يوسف حداد,روم كاثوليك,الشوف,مدنية
مايا وحيد ترو,سني,الشوف,مدنية
مروان عزيز المتني,ماروني,الشوف,مدنية
ايليان ميشال قزي,ماروني,الشوف,مدنية
الياس نجيبعيب,ماروني,الشوف,مدنية
مارين بهجاتضو,درزي,عاليه,مدنية
فادي فؤاد الخوري,ماروني,عاليه,مدنية
