قاسم علي عهد العزيز,سني,الضنية,المستقبل للشمال,,,,
سامي احمد شوقي فتفت,سني,الضنية,المستقبل للشمال,,,,
3othman mohammad 3alam eddine,سني,المنية,المستقبل للشمال,,,,
نعمهجرجس محفوص,روم ارثوذكس,طرابلس,المستقبل للشمال,,,,
شادي نان نشابه,سني,طرابلس,المستقبل للشمال,,,,
ديما محمد رشيد الجمالي,سني,طرابلس,المستقبل للشمال,,,,
محمد عهد اللطيف كباره,سني,طرابلس,المستقبل للشمال,,,,
سمير عدنان الجسر,سني,طرابلس,المستقبل للشمال,,,,
وليد محمود الصوالحي,سني,طرابلس,المستقبل للشمال,,,,
ليلىصن شحود,علوي,طرابلس,المستقبل للشمال,,,,
جورح طانيوس الهكديني,ماروني,طرابلس,المستقبل للشمال,,,,
,,,,,,,
علي مصطفى هرموش,سني,الضنية,قرار الشعب,,,,
ahmad mhammad shandab,سني,الضنية,قرار الشعب,,,,
kamal mhammad saleh alkhair,سني,المنية,قرار الشعب,,,,
نسطاس وليم الكوثظي,روم ارثوذكس,طرابلس,قرار الشعب,,,,
خالد كامل روميه,سني,طرابلس,قرار الشعب,,,,
محمود عهد الكريم شحاده,علوي,طرابلس,قرار الشعب,,,,
طوني فريد ماروني,ماروني,طرابلس,قرار الشعب,,,,
,,,,,,,
داني محمود عثمان,سني,الضنية,كلناوطني,,,,
ahmad moustafa aldhaybi,سني,المنية,كلناوطني,,,,
فرح ابراهيم عيسى,روم ارثوذكس,طرابلس,كلناوطني,,,,
مالك فيصل مولوي,سني,طرابلس,كلناوطني,,,,
واثق عهد الرزاق المقدم,سني,طرابلس,كلناوطني,,,,
mhammad monzer ashraf ma3aliqi,سني,طرابلس,كلناوطني,,,,
يحي كمل مولود,سني,طرابلس,كلناوطني,,,,
ناريمان عادل الثسعه,سني,طرابلس,كلناوطني,,,,
زهن الدهن نور الدهن دهب,علوي,طرابلس,كلناوطني,,,,
موسى اسعدخوري,ماروني,طرابلس,كلناوطني,,,,
,,,,,,,
راهب محمد فيصل رعد,سني,الضنية,لبنان السيادة,,,,
osama nadim amoun,سني,الضنية,لبنان السيادة,,,,
وليد محمد للمصري,سني,المنية,لبنان السيادة,,,,
جورح نقولا الجلاد,روم ارثوذكس,طرابلس,لبنان السيادة,,,,
علي عبدالحليم الايوبي,سني,طرابلس,لبنان السيادة,,,,
اشرف احمد ريفي,سني,طرابلس,لبنان السيادة,,,,
خالد عمر تدمري,سني,طرابلس,لبنان السيادة,,,,
محمد كمل الدهن سلهب,سني,طرابلس,لبنان السيادة,,,,
محمد وليد عهد القادر قمر الدهن,سني,طرابلس,لبنان السيادة,,,,
بدرصك عهد,علوي,طرابلس,لبنان السيادة,,,,
حليم نعيم زعني,ماروني,طرابلس,لبنان السيادة,,,,
,,,,,,,
نعمه ابراهيم ابراهيم,ماروني,البترون,الشمل القوي,,,,
جبران جرجي باسيل,ماروني,البترون,الشمل القوي,,,,
نقولا بله فؤاد بلهضمن ضمن,روم ارثوذكس,الكورة,الشمل القوي,,,,
جورح نعيم عطا ايه,روم ارثوذكس,الكورة,الشمل القوي,,,,
عيتا حههبصعب,روم ارثوذكس,الكورة,الشمل القوي,,,,اكمل ق
سعيد يوسف طوق,ماروني,بشرى,الشمل القوي,,,,
جورح بدوي بطرس,ماروني,بشرى,الشمل القوي,,,,
بيارجرجس رفول,ماروني,زغرتا,الشمل القوي,,,,
جواد سايمون بولس,ماروني,زغرتا,الشمل القوي,,,,
ميشال رانهمطهر,ماروني,زغرتا,الشمل القوي,,,,
